,Order_ID,Salesperson,Region,Category,Units_Sold,Unit_Price,Discount_%,Month,Returned
0,1001,Ahmed,Karachi,Electronics,15.0,12000,10,Jan,No
1,1002,Sara,Lahore,Clothing,30.0,3500,5,Jan,No
2,1003,Bilal,Karachi,Electronics,,8500,0,Jan,Yes
3,1004,Ahmed,Islamabad,Furniture,8.0,25000,15,Feb,No
4,1005,Nida,Lahore,Clothing,25.0,4200,5,Feb,No
5,1006,Sara,Karachi,Electronics,42.0,11000,10,Feb,Yes
6,1007,Usman,Islamabad,Furniture,10.0,22000,20,Mar,No
7,1008,Bilal,Lahore,Clothing,,3800,0,Mar,No
8,1009,Nida,Karachi,Electronics,18.0,9500,10,Mar,Yes
9,1010,,Lahore,Furniture,5.0,27000,15,Apr,No
10,1011,Usman,Karachi,Clothing,33.0,4000,5,Apr,No
11,1012,Sara,Islamabad,Electronics,27.0,10500,10,Apr,No
12,1013,Bilal,Lahore,Furniture,12.0,24000,20,May,Yes
13,1014,Nida,Karachi,Clothing,,3600,0,May,No
14,1015,Ahmed,Islamabad,Electronics,20.0,13000,10,May,No
15,1016,Usman,Lahore,Furniture,7.0,21000,15,Jun,No
16,1017,Sara,Karachi,Clothing,38.0,3900,5,Jun,Yes
17,1018,Bilal,Islamabad,Electronics,14.0,9000,0,Jun,No
18,1019,,Lahore,Furniture,9.0,23000,20,Jun,No
19,1020,Nida,Karachi,Clothing,22.0,4100,5,Jun,No
